food_name,constituent_name,constituent_smiles,constituent_category,description
Abalone,Iron,[Fe],FoodDB,Iron found in Abalone
Abalone,Sodium,[Na],FoodDB,Sodium found in Abalone
Abalone,Ethanol,CCO,FoodDB,Ethanol found in Abalone
Abalone,Calcium,[Ca++],FoodDB,Calcium found in Abalone
Abalone,Sucrose,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,FoodDB,Sucrose found in Abalone
Abalone,Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,FoodDB,Caffeine found in Abalone
Abalone,Curcumin,COC1=CC(\C=C\C(=O)CC(=O)\C=C\C2=CC(OC)=C(O)C=C2)=CC=C1O,FoodDB,Curcumin found in Abalone
Abalone,Methanol,CO,FoodDB,Methanol found in Abalone
Abalone,Potassium,[K+],FoodDB,Potassium found in Abalone
Abalone,Vitamin D,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCCC(C)C,FoodDB,Vitamin D found in Abalone
Abalone,Uric acid,O=C1NC2=C(N1)C(=O)NC(=O)N2,FoodDB,Uric acid found in Abalone
Abalone,Vitamin D3,CC(C)CCCC(C)C1CCC2\C(CCCC12C)=C\C=C1/CC(O)CCC1=C,FoodDB,Vitamin D3 found in Abalone
Abalone,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,FoodDB,Folic acid found in Abalone
Abalone,Cholesterol,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,FoodDB,Cholesterol found in Abalone
Abalone,Udp-glucose,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,FoodDB,Udp-glucose found in Abalone
Abiyuch,Iron,[Fe],FoodDB,Iron found in Abiyuch
Abiyuch,Sodium,[Na],FoodDB,Sodium found in Abiyuch
Abiyuch,Sucrose,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,FoodDB,Sucrose found in Abiyuch
Abiyuch,Calcium,[Ca++],FoodDB,Calcium found in Abiyuch
Abiyuch,Ethanol,CCO,FoodDB,Ethanol found in Abiyuch
Abiyuch,Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,FoodDB,Caffeine found in Abiyuch
Abiyuch,Curcumin,COC1=CC(\C=C\C(=O)CC(=O)\C=C\C2=CC(OC)=C(O)C=C2)=CC=C1O,FoodDB,Curcumin found in Abiyuch
Abiyuch,Methanol,CO,FoodDB,Methanol found in Abiyuch
Abiyuch,D-Glucose,OCC(O)C(O)C(O)C(O)C=O.OCC(O)C1OC(O)C(O)C1O.OCC1OC(O)C(O)C(O)C1O,FoodDB,D-Glucose found in Abiyuch
Abiyuch,Potassium,[K+],FoodDB,Potassium found in Abiyuch
Abiyuch,Uric acid,O=C1NC2=C(N1)C(=O)NC(=O)N2,FoodDB,Uric acid found in Abiyuch
Abiyuch,D-Fructose,OCC(O)C(O)C(O)C(=O)CO.OCC1OC(O)(CO)C(O)C1O.OCC1(O)OCC(O)C(O)C1O,FoodDB,D-Fructose found in Abiyuch
Abiyuch,Cholesterol,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,FoodDB,Cholesterol found in Abiyuch
Abiyuch,Udp-glucose,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,FoodDB,Udp-glucose found in Abiyuch
Abiyuch,ethanolamine,NCCO,FoodDB,ethanolamine found in Abiyuch
Acerola,Iron,[Fe],FoodDB,Iron found in Acerola
Acerola,Sodium,[Na],FoodDB,Sodium found in Acerola
Acerola,Ethanol,CCO,FoodDB,Ethanol found in Acerola
Acerola,Calcium,[Ca++],FoodDB,Calcium found in Acerola
Acerola,Sucrose,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,FoodDB,Sucrose found in Acerola
Acerola,Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,FoodDB,Caffeine found in Acerola
Acerola,Curcumin,COC1=CC(\C=C\C(=O)CC(=O)\C=C\C2=CC(OC)=C(O)C=C2)=CC=C1O,FoodDB,Curcumin found in Acerola
Acerola,Methanol,CO,FoodDB,Methanol found in Acerola
Acerola,Potassium,[K+],FoodDB,Potassium found in Acerola
Acerola,Uric acid,O=C1NC2=C(N1)C(=O)NC(=O)N2,FoodDB,Uric acid found in Acerola
Acerola,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,FoodDB,Folic acid found in Acerola
Acerola,Cholesterol,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,FoodDB,Cholesterol found in Acerola
Acerola,Udp-glucose,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,FoodDB,Udp-glucose found in Acerola
Acerola,ethanolamine,NCCO,FoodDB,ethanolamine found in Acerola
Acerola,Phaseic acid,C\C(\C=C\C1(O)C2(C)COC1(C)CC(=O)C2)=C/C(O)=O,FoodDB,Phaseic acid found in Acerola
Acorn,Iron,[Fe],FoodDB,Iron found in Acorn
Acorn,Sodium,[Na],FoodDB,Sodium found in Acorn
Acorn,Calcium,[Ca++],FoodDB,Calcium found in Acorn
Acorn,Ethanol,CCO,FoodDB,Ethanol found in Acorn
Acorn,Sucrose,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,FoodDB,Sucrose found in Acorn
Acorn,Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,FoodDB,Caffeine found in Acorn
Acorn,Curcumin,COC1=CC(\C=C\C(=O)CC(=O)\C=C\C2=CC(OC)=C(O)C=C2)=CC=C1O,FoodDB,Curcumin found in Acorn
Acorn,Methanol,CO,FoodDB,Methanol found in Acorn
Acorn,Potassium,[K+],FoodDB,Potassium found in Acorn
Acorn,Uric acid,O=C1NC2=C(N1)C(=O)NC(=O)N2,FoodDB,Uric acid found in Acorn
Acorn,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,FoodDB,Folic acid found in Acorn
Acorn,Cholesterol,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,FoodDB,Cholesterol found in Acorn
Acorn,Udp-glucose,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,FoodDB,Udp-glucose found in Acorn
Acorn,ethanolamine,NCCO,FoodDB,ethanolamine found in Acorn
Acorn,Phaseic acid,C\C(\C=C\C1(O)C2(C)COC1(C)CC(=O)C2)=C/C(O)=O,FoodDB,Phaseic acid found in Acorn
Acorn squash,Glyceryl monooleate,[H]C(CO)(CO)OC(=O)CCCCCCC\C=C/CCCCCCCC,FoodDB,Glyceryl monooleate found in Acorn squash
Acorn squash,Glycerol 2-hexadecanoate,[H]C(CO)(CO)OC(=O)CCCCCCCCCCCCCCC,FoodDB,Glycerol 2-hexadecanoate found in Acorn squash
Acorn squash,Glycerol trihexadecanoate,[H]C(COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,FoodDB,Glycerol trihexadecanoate found in Acorn squash
Acorn squash,Glycerol trioctadecanoate,[H]C(COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,FoodDB,Glycerol trioctadecanoate found in Acorn squash
Acorn squash,"Glycerol 1,3-dioctadecanoate 2-hexadecanoate",[H]C(COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,FoodDB,"Glycerol 1,3-dioctadecanoate 2-hexadecanoate found in Acorn squash"
Adobo,Iron,[Fe],FoodDB,Iron found in Adobo
Adobo,Sodium,[Na],FoodDB,Sodium found in Adobo
Adobo,Ethanol,CCO,FoodDB,Ethanol found in Adobo
Adobo,Calcium,[Ca++],FoodDB,Calcium found in Adobo
Adobo,Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,FoodDB,Caffeine found in Adobo
Adobo,Potassium,[K+],FoodDB,Potassium found in Adobo
Adobo,Vitamin D,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCCC(C)C,FoodDB,Vitamin D found in Adobo
Adobo,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,FoodDB,Folic acid found in Adobo
Adobo,Cholesterol,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,FoodDB,Cholesterol found in Adobo
Adobo,Hexanoic acid,CCCCCC(O)=O,FoodDB,Hexanoic acid found in Adobo
Adobo,Octanoic acid,CCCCCCCC(O)=O,FoodDB,Octanoic acid found in Adobo
Adobo,Decanoic acid,CCCCCCCCCC(O)=O,FoodDB,Decanoic acid found in Adobo
Adobo,Nicotinic acid,OC(=O)C1=CN=CC=C1,FoodDB,Nicotinic acid found in Adobo
