food_name,constituent_name,constituent_smiles,constituent_category,description
Abalone,Iron,[Fe],FoodDB,Iron found in Abalone
Abalone,Sodium,[Na],FoodDB,Sodium found in Abalone
Abalone,Calcium,[Ca++],FoodDB,Calcium found in Abalone
Abalone,Sucrose,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,FoodDB,Sucrose found in Abalone
Abalone,Potassium,[K+],FoodDB,Potassium found in Abalone
Abalone,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,FoodDB,Folic acid found in Abalone
Abalone,Udp-glucose,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,FoodDB,Udp-glucose found in Abalone
Abalone,Î±-D-glucose,OCC1OC(O)C(O)C(O)C1O,FoodDB,Î±-D-glucose found in Abalone
Abalone,Î²-D-glucose,OCC1OC(O)C(O)C(O)C1O,FoodDB,Î²-D-glucose found in Abalone
Abalone,L-Malic acid,O[C@@H](CC(O)=O)C(O)=O,FoodDB,L-Malic acid found in Abalone
Abalone,ADP-Î±-D-glucose,NC1=NC=NC2=C1N=CN2C1OC(COP([O-])(=O)OP([O-])(=O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O,FoodDB,ADP-Î±-D-glucose found in Abalone
Abalone,GDP-Î±-D-glucose,NC1=NC2=C(N=CN2C2OC(COP([O-])(=O)OP([O-])(=O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(=O)N1,FoodDB,GDP-Î±-D-glucose found in Abalone
Abiyuch,Iron,[Fe],FoodDB,Iron found in Abiyuch
Abiyuch,Sodium,[Na],FoodDB,Sodium found in Abiyuch
Abiyuch,Sucrose,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,FoodDB,Sucrose found in Abiyuch
Abiyuch,Calcium,[Ca++],FoodDB,Calcium found in Abiyuch
Abiyuch,D-Glucose,OCC(O)C(O)C(O)C(O)C=O.OCC(O)C1OC(O)C(O)C1O.OCC1OC(O)C(O)C(O)C1O,FoodDB,D-Glucose found in Abiyuch
Abiyuch,Potassium,[K+],FoodDB,Potassium found in Abiyuch
Abiyuch,D-Fructose,OCC(O)C(O)C(O)C(=O)CO.OCC1OC(O)(CO)C(O)C1O.OCC1(O)OCC(O)C(O)C1O,FoodDB,D-Fructose found in Abiyuch
Abiyuch,Udp-glucose,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,FoodDB,Udp-glucose found in Abiyuch
Abiyuch,Î±-D-glucose,OCC1OC(O)C(O)C(O)C1O,FoodDB,Î±-D-glucose found in Abiyuch
Abiyuch,Î²-D-glucose,OCC1OC(O)C(O)C(O)C1O,FoodDB,Î²-D-glucose found in Abiyuch
Abiyuch,L-Malic acid,O[C@@H](CC(O)=O)C(O)=O,FoodDB,L-Malic acid found in Abiyuch
Abiyuch,ADP-Î±-D-glucose,NC1=NC=NC2=C1N=CN2C1OC(COP([O-])(=O)OP([O-])(=O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O,FoodDB,ADP-Î±-D-glucose found in Abiyuch
Acerola,Iron,[Fe],FoodDB,Iron found in Acerola
Acerola,Sodium,[Na],FoodDB,Sodium found in Acerola
Acerola,Calcium,[Ca++],FoodDB,Calcium found in Acerola
Acerola,Sucrose,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,FoodDB,Sucrose found in Acerola
Acerola,Potassium,[K+],FoodDB,Potassium found in Acerola
Acerola,Quercetin,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1,FoodDB,Quercetin found in Acerola
Acerola,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,FoodDB,Folic acid found in Acerola
Acerola,Udp-glucose,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,FoodDB,Udp-glucose found in Acerola
Acerola,Î±-D-glucose,OCC1OC(O)C(O)C(O)C1O,FoodDB,Î±-D-glucose found in Acerola
Acerola,Î²-D-glucose,OCC1OC(O)C(O)C(O)C1O,FoodDB,Î²-D-glucose found in Acerola
Acerola,L-Malic acid,O[C@@H](CC(O)=O)C(O)=O,FoodDB,L-Malic acid found in Acerola
Acerola,ADP-Î±-D-glucose,NC1=NC=NC2=C1N=CN2C1OC(COP([O-])(=O)OP([O-])(=O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O,FoodDB,ADP-Î±-D-glucose found in Acerola
Acorn,Iron,[Fe],FoodDB,Iron found in Acorn
Acorn,Sodium,[Na],FoodDB,Sodium found in Acorn
Acorn,Calcium,[Ca++],FoodDB,Calcium found in Acorn
Acorn,Sucrose,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,FoodDB,Sucrose found in Acorn
Acorn,Potassium,[K+],FoodDB,Potassium found in Acorn
Acorn,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,FoodDB,Folic acid found in Acorn
Acorn,Udp-glucose,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,FoodDB,Udp-glucose found in Acorn
Acorn,Î±-D-glucose,OCC1OC(O)C(O)C(O)C1O,FoodDB,Î±-D-glucose found in Acorn
Acorn,Î²-D-glucose,OCC1OC(O)C(O)C(O)C1O,FoodDB,Î²-D-glucose found in Acorn
Acorn,L-Malic acid,O[C@@H](CC(O)=O)C(O)=O,FoodDB,L-Malic acid found in Acorn
Acorn,ADP-Î±-D-glucose,NC1=NC=NC2=C1N=CN2C1OC(COP([O-])(=O)OP([O-])(=O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O,FoodDB,ADP-Î±-D-glucose found in Acorn
Acorn,GDP-Î±-D-glucose,NC1=NC2=C(N=CN2C2OC(COP([O-])(=O)OP([O-])(=O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(=O)N1,FoodDB,GDP-Î±-D-glucose found in Acorn
Acorn squash,Glyceryl monooleate,[H]C(CO)(CO)OC(=O)CCCCCCC\C=C/CCCCCCCC,FoodDB,Glyceryl monooleate found in Acorn squash
Acorn squash,Glycerol 2-hexadecanoate,[H]C(CO)(CO)OC(=O)CCCCCCCCCCCCCCC,FoodDB,Glycerol 2-hexadecanoate found in Acorn squash
Acorn squash,Glycerol trihexadecanoate,[H]C(COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,FoodDB,Glycerol trihexadecanoate found in Acorn squash
Acorn squash,Glycerol trioctadecanoate,[H]C(COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,FoodDB,Glycerol trioctadecanoate found in Acorn squash
Acorn squash,"Glycerol 1,3-dioctadecanoate 2-hexadecanoate",[H]C(COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,FoodDB,"Glycerol 1,3-dioctadecanoate 2-hexadecanoate found in Acorn squash"
Adobo,Iron,[Fe],FoodDB,Iron found in Adobo
Adobo,Sodium,[Na],FoodDB,Sodium found in Adobo
Adobo,Calcium,[Ca++],FoodDB,Calcium found in Adobo
Adobo,Potassium,[K+],FoodDB,Potassium found in Adobo
Adobo,Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,FoodDB,Folic acid found in Adobo
Adobo,Zinc,[Zn],FoodDB,Zinc found in Adobo
Adobo,Sugars,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,FoodDB,Sugars found in Adobo
Adobo,Copper,[Cu],FoodDB,Copper found in Adobo
Adobo,Retinol,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C,FoodDB,Retinol found in Adobo
Adobo,Choline,C[N+](C)(C)CCO,FoodDB,Choline found in Adobo
Adobo,Selenium,[Se],FoodDB,Selenium found in Adobo
Adobo,Thiamine,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,FoodDB,Thiamine found in Adobo
Adzuki bean,Iron,[Fe],FoodDB,Iron found in Adzuki bean
Adzuki bean,Sodium,[Na],FoodDB,Sodium found in Adzuki bean
Adzuki bean,Sucrose,OCC1OC(CO)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,FoodDB,Sucrose found in Adzuki bean
Adzuki bean,Calcium,[Ca++],FoodDB,Calcium found in Adzuki bean
Adzuki bean,Catechin,O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1,FoodDB,Catechin found in Adzuki bean
Adzuki bean,Potassium,[K+],FoodDB,Potassium found in Adzuki bean
Adzuki bean,D-Glucose,OCC(O)C(O)C(O)C(O)C=O.OCC(O)C1OC(O)C(O)C1O.OCC1OC(O)C(O)C(O)C1O,FoodDB,D-Glucose found in Adzuki bean
